Território;Loja;Quant_Vendas
Northwest;A Bike Store;933
Northwest;A Cycle Shop;1005
Northwest;Aerobic Exercise Company;441
Northwest;Affordable Sports Equipment;285
Northwest;All Cycle Shop;933
Northwest;Alpine Ski House;441
Northwest;Alternative Vehicles;933
Northwest;Another Bicycle Company;1005
Northwest;Another Sporting Goods Company;441
Northwest;Area Bike Accessories;285
Northwest;Associated Bikes;285
Northwest;Authorized Bike Sales and Rental;933
Northwest;Basic Bike Company;1005
Northwest;Basic Sports Equipment;441
Northwest;Bicycle Accessories and Kits;1005
Northwest;Bicycle Merchandise Warehouse;285
Northwest;Big-Time Bike Store;285
Northwest;Bike Dealers Association;285
Northwest;Bike Experts;933
Northwest;Bike Universe;285
Northwest;Bike World;285
Northwest;Bold Bike Accessories;441
Northwest;Brakes and Gears;441
Northwest;Brightwork Company;285
Northwest;Brown Bicycle Company;285
Northwest;Capable Sales and Service;933
Northwest;Center Cycle Shop;933
Northwest;Central Discount Store;1005
Northwest;Certified Bicycle Supply;933
Northwest;City Manufacturing;933
Northwest;Closeout Boutique;1005
Northwest;Coalition Bike Company;285
Northwest;Coho Sports;1005
Northwest;Commendable Bikes;1005
Northwest;Commercial Sporting Goods;285
Northwest;Convenient Sales and Service;933
Northwest;Countryside Company;441
Northwest;Curbside Sporting Goods;285
Northwest;Cycle Clearance;933
Northwest;Demand Distributors;1005
Northwest;Discount Tours;285
Northwest;Distant Inn;285
Northwest;Distinctive Store;285
Northwest;Downtown Hotel;285
Northwest;Eastside Department Store;441
Northwest;Economy Bikes Company;441
Northwest;Eighth Bike Store;285
Northwest;Engineered Bike Systems;285
Northwest;Exercise Center;285
Northwest;Exertion Activities Club;285
Northwest;Extended Bike Sales;441
Northwest;Extreme Riding Supplies;441
Northwest;Fad Outlet;933
Northwest;Family Entertainment Center;933
Northwest;Farthermost Bike Shop;285
Northwest;Fashionable Bikes and Accessories;285
Northwest;Field Trip Store;441
Northwest;Fifth Bike Store;1005
Northwest;Finer Mart;1005
Northwest;Finer Parts Shop;1005
Northwest;Finish and Sealant Products;285
Northwest;First Cycle Store;285
Northwest;First Department Stores;1005
Northwest;Fitness Cycling;285
Northwest;Fitness Department Stores;285
Northwest;Fitness Supplies;933
Northwest;Flawless Bike Shop;441
Northwest;Fleet Bikes;441
Northwest;Friendly Bike Shop;1005
Northwest;Front Sporting Goods;933
Northwest;Frugal Bike Shop;285
Northwest;Fun Times Club;285
Northwest;Fun Toys and Bikes;285
Northwest;Futuristic Bikes;285
Northwest;Futuristic Sport Distributors;285
Northwest;Golf and Cycle Store;285
Northwest;Good Toys;441
Northwest;Grand Cycle Store;1005
Northwest;Great Bikes ;1005
Northwest;Healthy Activity Store;441
Northwest;Highway Bike Shop;285
Northwest;Honest Repair Service;933
Northwest;Imaginary Toys;933
Northwest;Imported and Domestic Cycles;441
Northwest;Impromptu Trips;1005
Northwest;Initial Bike Company;285
Northwest;Kickstands and Accessories Company;933
Northwest;Latest Accessories Sales;1005
Northwest;Latest Sports Equipment;1005
Northwest;Locks Company;285
Northwest;Mail-Order Outlet;933
Northwest;Main Bicycle Services;441
Northwest;Major Sport Suppliers;1005
Northwest;Major Sporting Goods;441
Northwest;Many Bikes Store;285
Northwest;Mechanical Products Ltd.;285
Northwest;Metallic Paint and Overcoat Co;285
Northwest;Metro Cycle Shop;1005
Northwest;Metropolitan Manufacturing;285
Northwest;Metropolitan Sports Supply;285
Northwest;Moderately-Priced Bikes Store;933
Northwest;More Bikes!;441
Northwest;Mountain Bike Center;285
Northwest;Nonskid Tire Company;933
Northwest;Number 1 Supply;285
Northwest;Official Parts Shop;933
Northwest;Outdoor Sporting Goods;285
Northwest;Outdoor Sports Supply;933
Northwest;Outstanding Cycles;1005
Northwest;Paints and Solvents Company;285
Northwest;Parcel Express Delivery Service;1005
Northwest;Permanent Finish Products;285
Northwest;Preferred Bikes;441
Northwest;Principal Bike Company;285
Northwest;Pro Sporting Goods;441
Northwest;Professional Containers and Packaging Co.;285
Northwest;Professional Cycle Store;285
Northwest;Professional Sales and Service;441
Northwest;Progressive Sports;1005
Northwest;Quantity Discounts;441
Northwest;Racing Bike Outlet;1005
Northwest;Racing Toys;285
Northwest;Rally Master Company Inc;285
Northwest;Raw Materials Inc;933
Northwest;Real Sporting Goods;285
Northwest;Reasonable Bicycle Sales;285
Northwest;Regional Manufacturing;285
Northwest;Remarkable Bike Store;441
Northwest;Resale Services;441
Northwest;Retail Cycle Shop;441
Northwest;Retail Sporting Equipment;285
Northwest;Retail Sporting Goods;285
Northwest;Riding Associates;933
Northwest;Riding Excursions;441
Northwest;Roadway Bike Emporium;933
Northwest;Road-Way Mart;1005
Northwest;Roadway Supplies;285
Northwest;Roving Sports;933
Northwest;Rugged Bikes;1005
Northwest;Running and Cycling Gear;1005
Northwest;Rural Department Store;285
Northwest;Safe Cycles Shop;1005
Northwest;Safe Toys;285
Northwest;Sample Bike Store;441
Northwest;Scooters and Bikes Store;933
Northwest;Security Racks and Locks Wholesalers;285
Northwest;Sellers of Cycles;933
Northwest;Separate Parts Corporation;285
Northwest;Small Bike Shop;285
Northwest;Some Discount Store;933
Northwest;Sparkling Paint and Finishes;441
Northwest;Sports Commodities;1005
Northwest;Sports Merchandise;933
Northwest;Sports Products Store;441
Northwest;Stock Parts and Supplies;1005
Northwest;Strenuous Exercise Shop;441
Northwest;Sturdy Toys;285
Northwest;Suburban Cycle Shop;1005
Northwest;Successful Sales Company;933
Northwest;Superior Hardware Distributors;1005
Northwest;Sure & Reliable Sporting Goods;1005
Northwest;Synthetic Materials Manufacturing;933
Northwest;Systematic Sales;285
Northwest;Technical Parts Manufacturing;285
Northwest;The Bicycle Accessories Company;285
Northwest;The Bike Shop;1005
Northwest;The New Bike Store;441
Northwest;Thorough Parts and Repair Services;933
Northwest;Thrifty Parts and Sales;441
Northwest;Thrilling Bike Tours;441
Northwest;Timely Shipping Service;285
Northwest;Tires and Tubes;933
Northwest;Traction Tire Company;441
Northwest;Trailblazing Sports;285
Northwest;Transport Bikes;285
Northwest;Travel Sports;933
Northwest;Trendy Department Stores;285
Northwest;Two Bike Shops;933
Northwest;Two Wheels Cycle Store;441
Northwest;Unicycles, Bicycles, and Tricycles;285
Northwest;Utilitarian Sporting Goods;285
Northwest;Vale Riding Supplies;285
Northwest;Valley Bicycle Distributors;285
Northwest;Vast Bike Sales and Rental;933
Northwest;Vehicle Shop;285
Northwest;Vintage Sport Boutique;1005
Northwest;Weekend Bike Tours;285
Northwest;Western Bike Supplies;285
Northwest;Westside Plaza;285
Northwest;Wheel Gallery;285
Northwest;Wingtip Toys;1005
Northwest;Wire Baskets and Parts;441
Northwest;World Bike Discount Store;441
Northwest;Year-Round Sports;1005
Northeast;A Great Bicycle Company;754
Northeast;A Typical Bike Shop;754
Northeast;Active Systems;754
Northeast;Advanced Bike Components;754
Northeast;All Seasons Sports Supply;754
Northeast;Beneficial Exercises and Activities;754
Northeast;Best o' Bikes;754
Northeast;Bicycle Lines Distributors;754
Northeast;Big Cycle Mall;754
Northeast;Black Bicycle Company;754
Northeast;Cash & Carry Bikes;754
Northeast;Chic Department Stores;754
Northeast;Client Discount Store;754
Northeast;Contoso, Ltd.;754
Northeast;Designer Department Stores;754
Northeast;Discount Bicycle Specialists;754
Northeast;District Mall;754
Northeast;Elite Bikes;754
Northeast;Extraordinary Bike Works;754
Northeast;Extras Sporting Goods;754
Northeast;First Bike Store;754
Northeast;Fitness Hotel;754
Northeast;Fitness Toy Store;754
Northeast;Friendly Neighborhood Bikes;754
Northeast;Genial Bike Associates;754
Northeast;Genuine Bike Shop;754
Northeast;Gift and Toy Store;754
Northeast;Global Sporting Goods;754
Northeast;Go-cart and Bike Specialists;754
Northeast;Good Bike Shop;754
Northeast;Grand Bicycle Stores;754
Northeast;Grease and Oil Products Company;754
Northeast;Great Bicycle Supply;754
Northeast;Hardware Components;754
Northeast;Immense Manufacturing Company;754
Northeast;Journey Sporting Goods;754
Northeast;Largest Bike Store;754
Northeast;Leading Sales & Repair;754
Northeast;Little Bicycle Supply Shop;754
Northeast;Local Hardware Factory;754
Northeast;Local Sales and Rental;754
Northeast;Lots of Bikes Storehouse;754
Northeast;Maintenance and Repair for Bicycles;754
Northeast;Modular Cycle Systems;754
Northeast;Mountain Toy Store;754
Northeast;Orange Bicycle Company;754
Northeast;Out-of-the-Way Hotels;754
Northeast;Paint Supply;754
Northeast;Practical Bike Supply Company;754
Northeast;Rental Bikes;754
Northeast;Responsible Bike Dealers;754
Northeast;Riders Company;754
Northeast;Rural Sales and Service;754
Northeast;Satin Finish Company;754
Northeast;Sheet Metal Manufacturing;754
Northeast;Sleek Bikes ;754
Northeast;Social Activities Club;754
Northeast;Solid Bike Parts;754
Northeast;Specialty Sports Store;754
Northeast;Stationary Bikes and Stands;754
Northeast;Summer Sports Place;754
Northeast;Swift Cycles;754
Northeast;The Accessories Store;754
Northeast;The Gear Store;754
Northeast;Third Bike Store;754
Northeast;This Area Sporting Goods;754
Northeast;Totes & Baskets Company;754
Northeast;Town Industries;754
Northeast;Travel Systems;754
Northeast;Two-Seater Bikes;754
Northeast;Unique Bikes;754
Northeast;Unsurpassed Bikes;754
Northeast;Valley Bicycle Specialists;754
Northeast;Westside Cycle Store;754
Northeast;World of Bikes;754
Northeast;Yellow Bicycle Company;754
Central;A Bicycle Association;417
Central;A Great Bicycle Company;215
Central;A Typical Bike Shop;215
Central;Active Cycling;417
Central;Active Systems;215
Central;Active Transport Inc.;417
Central;Advanced Bike Components;215
Central;Aerobic Exercise Company;146
Central;Affordable Sports Equipment;29
Central;All Seasons Sports Supply;215
Central;Alpine Ski House;146
Central;Another Sporting Goods Company;146
Central;Area Bike Accessories;29
Central;Associated Bikes;29
Central;Basic Sports Equipment;146
Central;Beneficial Exercises and Activities;215
Central;Best o' Bikes;215
Central;Bicycle Lines Distributors;215
Central;Bicycle Merchandise Warehouse;29
Central;Bicycle Outfitters;417
Central;Big Cycle Mall;215
Central;Big-Time Bike Store;29
Central;Bike Boutique;417
Central;Bike Dealers Association;29
Central;Bike Products and Accessories;417
Central;Bike Universe;29
Central;Bike World;29
Central;Bikes Anyone?;417
Central;Black Bicycle Company;215
Central;Blue Bicycle Company;417
Central;Bold Bike Accessories;146
Central;Brakes and Gears;146
Central;Brightwork Company;29
Central;Brown Bicycle Company;29
Central;Cash & Carry Bikes;215
Central;Casual Bicycle Store;417
Central;Catalog Store;417
Central;Chic Department Stores;215
Central;Clamps & Brackets Co.;417
Central;Classic Cycle Store;417
Central;Client Discount Store;215
Central;Coalition Bike Company;29
Central;Commercial Sporting Goods;29
Central;Contoso, Ltd.;215
Central;Convenient Bike Shop;417
Central;Countryside Company;146
Central;Curbside Sporting Goods;29
Central;Curbside Universe;417
Central;Designer Department Stores;215
Central;Discount Bicycle Specialists;215
Central;Discount Tours;29
Central;Distant Inn;29
Central;Distinctive Store;29
Central;District Mall;215
Central;Downtown Hotel;29
Central;Eastside Department Store;146
Central;Eastside Sporting Goods;417
Central;Economic Parts Supply;417
Central;Economy Bikes Company;146
Central;Eighth Bike Store;29
Central;Eleventh Bike Store;417
Central;Elite Bikes;215
Central;Endurance Bikes;417
Central;Engineered Bike Systems;29
Central;Executive Gift Store;417
Central;Exercise Center;29
Central;Exertion Activities Club;29
Central;Exhilarating Cycles;417
Central;Exotic Bikes;417
Central;Expert Sports Store;417
Central;Extended Bike Sales;146
Central;Extraordinary Bike Works;215
Central;Extras Sporting Goods;215
Central;Extreme Riding Supplies;146
Central;Fabrikam Inc., West;417
Central;Famous Bike Sales and Service;417
Central;Farthermost Bike Shop;29
Central;Fashionable Bikes and Accessories;29
Central;Fashionable Department Stores;417
Central;Field Trip Inc;417
Central;Field Trip Store;146
Central;Finish and Sealant Products;29
Central;First Bike Store;215
Central;First Cycle Store;29
Central;Fitness Cycling;29
Central;Fitness Department Stores;29
Central;Fitness Hotel;215
Central;Fitness Sport Boutique;417
Central;Fitness Toy Store;215
Central;Flawless Bike Shop;146
Central;Fleet Bikes;146
Central;Fourth Bike Store;417
Central;Friendly Bike Shop;417
Central;Friendly Neighborhood Bikes;215
Central;Frugal Bike Shop;29
Central;Full-Service Bike Store;417
Central;Fun Times Club;29
Central;Fun Toys and Bikes;29
Central;Futuristic Bikes;29
Central;Futuristic Sport Distributors;29
Central;Genial Bike Associates;215
Central;Genuine Bike Shop;215
Central;Gift and Toy Store;215
Central;Global Sporting Goods;215
Central;Glossy Bikes;417
Central;Go-cart and Bike Specialists;215
Central;Golf and Cycle Store;29
Central;Good Bike Shop;215
Central;Good Toys;146
Central;Grand Bicycle Stores;215
Central;Grand Discount Store;417
Central;Grand Sport Boutique;417
Central;Grease and Oil Products Company;215
Central;Great Bicycle Supply;215
Central;Grown-up Bike Store;417
Central;Guaranteed Sales and Service;417
Central;Handy Bike Services;417
Central;Hardware Components;215
Central;Healthy Activity Store;146
Central;Highway Bike Shop;29
Central;Historic Bicycle Sales;417
Central;Immediate Repair Shop;417
Central;Immense Manufacturing Company;215
Central;Imported and Domestic Cycles;146
Central;Incomparable Bicycle Store;417
Central;Independent Outlet;417
Central;Initial Bike Company;29
Central;Journey Sporting Goods;215
Central;Kickstand Sellers;417
Central;Larger Cycle Shop;417
Central;Largest Bike Store;215
Central;Leading Sales & Repair;215
Central;Lease-a-Bike Shop;417
Central;Leather and Vinyl Manufacturing;417
Central;Little Bicycle Supply Shop;215
Central;Local Hardware Factory;215
Central;Local Sales and Rental;215
Central;Locks Company;29
Central;Lots of Bikes Storehouse;215
Central;Main Bicycle Services;146
Central;Maintenance and Repair for Bicycles;215
Central;Major Sporting Goods;146
Central;Many Bikes Store;29
Central;Margie's Travel;417
Central;Mechanical Products Ltd.;29
Central;Mechanical Sports Center;417
Central;Metallic Paint and Overcoat Co;29
Central;Metro Bike Works;417
Central;Metropolitan Manufacturing;29
Central;Metropolitan Sales and Rental;417
Central;Metropolitan Sports Supply;29
Central;Mobile Outlet;417
Central;Modern Bike Store;417
Central;Modular Cycle Systems;215
Central;More Bikes!;146
Central;Mountain Bike Center;29
Central;Mountain Bike Store;417
Central;Mountain Toy Store;215
Central;Novelty Bikes;417
Central;Number 1 Supply;29
Central;Online Bike Sellers;417
Central;Only Bikes and Accessories;417
Central;Orange Bicycle Company;215
Central;Outdoor Distributors;417
Central;Outdoor Equipment Store;417
Central;Outdoor Sporting Goods;29
Central;Out-of-the-Way Hotels;215
Central;Paint Supply;215
Central;Painters Bicycle Specialists;417
Central;Paints and Solvents Company;29
Central;Permanent Finish Products;29
Central;Practical Bike Supply Company;215
Central;Preferred Bikes;146
Central;Principal Bike Company;29
Central;Pro Sporting Goods;146
Central;Professional Containers and Packaging Co.;29
Central;Professional Cycle Store;29
Central;Professional Sales and Service;146
Central;Professional Sporting Goods;417
Central;Purchase Mart;417
Central;Quantity Discounts;146
Central;Racing Toys;29
Central;Rally Master Company Inc;29
Central;Real Sporting Goods;29
Central;Reasonable Bicycle Sales;29
Central;Recreation Systems;417
Central;Regional Manufacturing;29
Central;Remarkable Bike Store;146
Central;Rental Bikes;215
Central;Resale Services;146
Central;Responsible Bike Dealers;215
Central;Retail Cycle Shop;146
Central;Retail Sales and Service;417
Central;Retail Sporting Equipment;29
Central;Retail Sporting Goods;29
Central;Riders Company;215
Central;Riding Excursions;146
Central;Riverside Company;417
Central;Roadway Supplies;29
Central;Rural Department Store;29
Central;Rural Sales and Service;215
Central;Safe Toys;29
Central;Sales and Supply Company;417
Central;Sample Bike Store;146
Central;Satin Finish Company;215
Central;Security Racks and Locks Wholesalers;29
Central;Separate Parts Corporation;29
Central;Seventh Bike Store;417
Central;Sheet Metal Manufacturing;215
Central;Sleek Bikes ;215
Central;Small Bike Accessories Shop;417
Central;Small Bike Shop;29
Central;Small Cycle Store;417
Central;Social Activities Club;215
Central;Solid Bike Parts;215
Central;Sparkling Paint and Finishes;146
Central;Specialty Sports Store;215
Central;Sports Products Store;146
Central;Stationary Bikes and Stands;215
Central;Strenuous Exercise Shop;146
Central;Strong Metal Manufacturing;417
Central;Sturdy Toys;29
Central;Summer Sports Place;215
Central;Super Sports Store;417
Central;Swift Cycles;215
Central;Systematic Sales;29
Central;Technical Parts Manufacturing;29
Central;The Accessories Store;215
Central;The Bicycle Accessories Company;29
Central;The Bike Mechanics;417
Central;The Cycle Store;417
Central;The Gear Store;215
Central;The New Bike Store;146
Central;Third Bike Store;215
Central;This Area Sporting Goods;215
Central;Thrifty Parts and Sales;146
Central;Thrilling Bike Tours;146
Central;Timely Shipping Service;29
Central;Tire Company;417
Central;Totes & Baskets Company;215
Central;Town Industries;215
Central;Traction Tire Company;146
Central;Traditional Department Stores;417
Central;Trailblazing Sports;29
Central;Transport Bikes;29
Central;Travel Systems;215
Central;Trendy Department Stores;29
Central;Trusted Catalog Store;417
Central;Two Wheels Cycle Store;146
Central;Two-Seater Bikes;215
Central;Unicycles, Bicycles, and Tricycles;29
Central;Unique Bikes;215
Central;Unsurpassed Bikes;215
Central;Utilitarian Sporting Goods;29
Central;Vale Riding Supplies;29
Central;Valley Bicycle Distributors;29
Central;Valley Bicycle Specialists;215
Central;Vehicle Shop;29
Central;Weekend Bike Tours;29
Central;Weekend Tours;417
Central;Western Bike Supplies;29
Central;Westside Cycle Store;215
Central;Westside Plaza;29
Central;Wheel Gallery;29
Central;Wheelsets Storehouse;417
Central;Wholesale Bikes;417
Central;Wire Baskets and Parts;146
Central;Work and Play Association;417
Central;World Bike Discount Store;146
Central;World of Bikes;215
Central;Yellow Bicycle Company;215
Southwest;A Bicycle Association;1012
Southwest;Active Cycling;1012
Southwest;Active Transport Inc.;1012
Southwest;Aerobic Exercise Company;1390
Southwest;Affordable Sports Equipment;1032
Southwest;Alpine Ski House;1390
Southwest;Another Sporting Goods Company;1390
Southwest;Area Bike Accessories;1032
Southwest;Associated Bikes;1032
Southwest;Basic Sports Equipment;1390
Southwest;Bicycle Merchandise Warehouse;1032
Southwest;Bicycle Outfitters;1012
Southwest;Big-Time Bike Store;1032
Southwest;Bike Boutique;1012
Southwest;Bike Dealers Association;1032
Southwest;Bike Products and Accessories;1012
Southwest;Bike Universe;1032
Southwest;Bike World;1032
Southwest;Bikes Anyone?;1012
Southwest;Blue Bicycle Company;1012
Southwest;Bold Bike Accessories;1390
Southwest;Brakes and Gears;1390
Southwest;Brightwork Company;1032
Southwest;Brown Bicycle Company;1032
Southwest;Casual Bicycle Store;1012
Southwest;Catalog Store;1012
Southwest;Clamps & Brackets Co.;1012
Southwest;Classic Cycle Store;1012
Southwest;Coalition Bike Company;1032
Southwest;Commercial Sporting Goods;1032
Southwest;Convenient Bike Shop;1012
Southwest;Countryside Company;1390
Southwest;Curbside Sporting Goods;1032
Southwest;Curbside Universe;1012
Southwest;Discount Tours;1032
Southwest;Distant Inn;1032
Southwest;Distinctive Store;1032
Southwest;Downtown Hotel;1032
Southwest;Eastside Department Store;1390
Southwest;Eastside Sporting Goods;1012
Southwest;Economic Parts Supply;1012
Southwest;Economy Bikes Company;1390
Southwest;Eighth Bike Store;1032
Southwest;Eleventh Bike Store;1012
Southwest;Endurance Bikes;1012
Southwest;Engineered Bike Systems;1032
Southwest;Executive Gift Store;1012
Southwest;Exercise Center;1032
Southwest;Exertion Activities Club;1032
Southwest;Exhilarating Cycles;1012
